Time [s],Packet ID,MOSI,MISO
2.44034425,186,' ' (0x20),'14' (0x0E)
2.4403515,186,B (0x42),'14' (0x0E)
2.440358875,186,A (0x41),'14' (0x0E)
2.440366125,186,T (0x54),'14' (0x0E)
2.4403735,186,: (0x3A),'14' (0x0E)
2.44038075,186,v (0x76),'14' (0x0E)
2.440418875,187,'1' (0x01),'14' (0x0E)
2.440425125,187,'0' (0x00),'4' (0x04)
2.44046225,188,'129' (0x81),'14' (0x0E)
2.44046875,188,'12' (0x0C),'4' (0x04)
2.4405205,189,'1' (0x01),'14' (0x0E)
2.44052675,189,'0' (0x00),'12' (0x0C)
2.440563875,190,'129' (0x81),'14' (0x0E)
2.440570375,190,'4' (0x04),'12' (0x0C)
2.440613875,191,'1' (0x01),'14' (0x0E)
2.440620125,191,'0' (0x00),'12' (0x0C)
2.440657375,192,'129' (0x81),'14' (0x0E)
2.44066375,192,'0' (0x00),'12' (0x0C)
2.441297125,193,= (0x3D),'14' (0x0E)
2.441303375,193,'0' (0x00),'18' (0x12)
2.441340375,194,'189' (0xBD),'14' (0x0E)
2.441346875,194,'22' (0x16),'18' (0x12)
2.4413985,195,( (0x28),'14' (0x0E)
2.44140475,195,'0' (0x00),'0' (0x00)
2.441442125,196,'165' (0xA5),'14' (0x0E)
2.4414485,196,@ (0x40),'0' (0x00)
2.441487625,197,'1' (0x01),'14' (0x0E)
2.441493875,197,'0' (0x00),'0' (0x00)
2.441531125,198,'129' (0x81),'14' (0x0E)
2.4415375,198,'16' (0x10),'0' (0x00)
2.44157375,199,' (0x27),'14' (0x0E)
2.44158,199,'0' (0x00),'0' (0x00)
2.441617375,200,' (0x27),'14' (0x0E)
2.441623625,200,'0' (0x00),'16' (0x10)
2.441661,201,' (0x27),'14' (0x0E)
2.44166725,201,'0' (0x00),'16' (0x10)
2.441704625,202,' (0x27),'14' (0x0E)
2.441710875,202,'0' (0x00),'144' (0x90)
2.441752,203,$ (0x24),'14' (0x0E)
2.441758125,203,'0' (0x00),'255' (0xFF)
2.441798625,204,'1' (0x01),'14' (0x0E)
2.441804875,204,'0' (0x00),'16' (0x10)
2.441842,205,'129' (0x81),'14' (0x0E)
2.4418485,205,'4' (0x04),'16' (0x10)
2.441898125,206,' (0x27),'14' (0x0E)
2.44190425,206,'0' (0x00),'128' (0x80)
2.4419415,207,'165' (0xA5),'14' (0x0E)
2.441947875,207,'0' (0x00),@ (0x40)
2.44198175,208,'128' (0x80),'14' (0x0E)
2.441988125,208,'14' (0x0E),'14' (0x0E)
2.441994375,208,'1' (0x01),'14' (0x0E)
2.44200075,208,7 (0x37),'14' (0x0E)
2.442006875,208,'0' (0x00),'14' (0x0E)
2.442014375,208,L (0x4C),'14' (0x0E)
2.442021625,208,O (0x4F),'14' (0x0E)
2.442029,208,: (0x3A),'14' (0x0E)
2.44203625,208,7 (0x37),'14' (0x0E)
2.442043625,208,m (0x6D),'14' (0x0E)
2.442050875,208,' ' (0x20),'14' (0x0E)
2.44205825,208,B (0x42),'14' (0x0E)
2.4420655,208,A (0x41),'14' (0x0E)
2.442072875,208,T (0x54),'14' (0x0E)
2.442080125,208,: (0x3A),'14' (0x0E)
2.4420875,208,v (0x76),'14' (0x0E)
2.442125625,209,'1' (0x01),'14' (0x0E)
2.442131875,209,'0' (0x00),'4' (0x04)
2.442169,210,'129' (0x81),'14' (0x0E)
2.4421755,210,'12' (0x0C),'4' (0x04)
2.44222725,211,'1' (0x01),'14' (0x0E)
2.4422335,211,'0' (0x00),'12' (0x0C)
2.442282625,212,'129' (0x81),'14' (0x0E)
2.442289125,212,'4' (0x04),'12' (0x0C)
2.442332625,213,'1' (0x01),'14' (0x0E)
2.442338875,213,'0' (0x00),'12' (0x0C)
2.442376,214,'129' (0x81),'14' (0x0E)
2.4423825,214,'0' (0x00),'12' (0x0C)
2.443014625,215,= (0x3D),'14' (0x0E)
2.443020875,215,'0' (0x00),'18' (0x12)
2.443058,216,'189' (0xBD),'14' (0x0E)
2.443064375,216,'22' (0x16),'18' (0x12)
2.443116125,217,( (0x28),'14' (0x0E)
2.44312225,217,'0' (0x00),'0' (0x00)
2.443159625,218,'165' (0xA5),'14' (0x0E)
