Time[s], Data[Hex]
3.081967, 4
3.08196725, 0
3.0819675, 4
3.08196775, 0
3.081967875, 1
3.081968, 5
3.081968375, 1
3.081968625, 5
3.081968875, 1
3.081969125, 5
3.081969375, 3
3.08197125, 2
3.0819715, 6
3.08197175, 0
3.081972, 4
3.08197225, 0
3.0819725, 4
3.08197275, 0
3.081973, 4
3.08197325, 0
3.0819735, 4
3.08197375, 0
3.081974, 4
3.08197425, 0
3.0819745, 4
3.08197475, 0
3.081975, 4
3.08197525, 1
3.081989375, 9
3.082168625, 1
3.082171125, 0
3.082171375, 4
3.082171625, 0
3.082171875, 4
3.082172125, 0
3.082172375, 4
3.082172625, 1
3.082172875, 5
3.082173125, 0
3.082173375, 4
3.082173625, 0
3.082173875, 4
3.082174125, 0
3.082174375, 4
3.082174625, 1
3.082174875, 5
3.082175125, 3
3.082177, 2
3.08217725, 6
3.0821775, 0
3.08217775, 4
3.082178, 0
3.08217825, 4
3.0821785, 2
3.08217875, 6
3.082179, 2
3.08217925, 6
3.0821795, 2
3.08217975, 6
3.08218, 2
3.08218025, 6
3.0821805, 2
3.08218075, 6
3.082181, 1
3.082195125, 9
3.082235625, 1
3.082238375, 5
3.082238625, 0
3.082238875, 4
3.082239125, 0
3.082239375, 4
3.082239625, 1
3.082239875, 5
3.082240125, 0
3.082240375, 4
3.082240625, 0
3.082240875, 4
3.082241125, 0
3.082241375, 4
3.082241625, 1
3.082241875, 5
3.082242125, 3
3.0822445, 7
3.08224475, 0
3.082245, 4
3.08224525, 0
3.0822455, 4
3.08224575, 3
3.082246, 7
3.08224625, 3
3.0822465, 7
3.08224675, 3
3.082247, 7
3.08224725, 2
3.0822475, 6
3.08224775, 3
3.082248, 7
3.08224825, 1
3.082263625, 9
3.082472125, 1
3.082474625, 0
3.082474875, 4
3.082475125, 0
3.082475375, 4
3.082475625, 1
3.082475875, 5
3.082476125, 1
3.082476375, 5
3.082476625, 1
3.082476875, 5
3.082477125, 1
3.082477375, 5
3.082477625, 0
3.082477875, 4
3.082478125, 1
3.082478375, 5
3.082478625, 1
3.0824805, 0
3.08248075, 4
3.082481, 0
3.08248125, 4
3.0824815, 0
3.08248175, 4
3.082482, 2
3.08248225, 6
3.0824825, 0
3.08248275, 4
3.082483, 0
3.08248325, 4
3.0824835, 2
3.08248375, 6
3.082484, 0
3.08248425, 4
3.0824845, 1
3.082498625, 9
3.082538375, 1
3.082541125, 5
3.082541375, 0
3.082541625, 4
3.082541875, 1
3.082542125, 5
3.082542375, 1
3.082542625, 5
3.082542875, 1
3.082543125, 5
3.082543375, 1
3.082543625, 5
3.082543875, 0
3.082544125, 4
3.082544375, 1
3.082544625, 5
3.082544875, 1
3.082547, 0
3.08254725, 4
3.0825475, 0
3.08254775, 4
3.082548, 0
3.08254825, 4
3.0825485, 3
3.08254875, 7
3.082549, 0
3.08254925, 4
3.0825495, 1
3.08254975, 5
3.08255, 3
3.08255025, 7
3.0825505, 0
3.08255075, 4
3.082551, 1
3.082566375, 9
3.082620375, 1
3.082622875, 0
3.082623125, 4
3.082623375, 0
3.082623625, 4
3.082623875, 1
3.082624125, 5
3.082624375, 0
3.082624625, 4
3.082624875, 1
3.082625125, 5
3.082625375, 0
3.082625625, 4
3.082625875, 0
3.082626125, 4
3.082626375, 0
3.082626625, 4
3.082626875, 1
3.08262875, 0
3.082629, 4
3.08262925, 0
3.0826295, 4
3.08262975, 0
3.08263, 4
3.08263025, 0
3.0826305, 4
3.08263075, 0
3.082631, 4
3.08263125, 0
3.0826315, 4
3.08263175, 0
3.082632, 4
3.08263225, 0
3.0826325, 4
3.08263275, 1
3.082632875, 3
3.082647, B
3.082686875, 1
3.082689625, 5
3.082689875, 0
3.082690125, 4
3.082690375, 1
3.082690625, 5
3.082690875, 0
3.082691125, 4
3.082691375, 0
3.082691625, 4
3.082691875, 1
3.082692125, 5
3.082692375, 0
3.082692625, 4
3.082692875, 1
3.082693125, 5
3.082693375, 1
3.0826955, 0
3.08269575, 4
3.082696, 3
3.08269625, 7
3.0826965, 2
3.082696625, 0
3.08269675, 4
3.082697, 0
3.08269725, 4
3.0826975, 0
3.08269775, 4
3.082698, 0
3.08269825, 4
3.0826985, 0
3.08269875, 4
3.082699, 0
3.08269925, 4
3.0826995, 1
3.082715, 9
3.082741125, 1
3.082743625, 0
3.082743875, 4
3.082744125, 0
3.082744375, 4
3.082744625, 0
3.082744875, 4
3.082745125, 0
3.082745375, 4
3.082745625, 0
3.082745875, 4
3.082746125, 0
3.082746375, 4
3.082746625, 0
3.082746875, 4
3.082747125, 1
3.082747375, 5
3.082747625, 1
3.0827495, 0
3.08274975, 4
3.08275, 0
3.08275025, 4
3.0827505, 0
3.08275075, 4
3.082751, 0
3.08275125, 4
3.0827515, 0
3.08275175, 4
3.082752, 2
3.08275225, 6
3.0827525, 0
